KY2021,KH2012,KH2013,uniprot,fullname
KY21.Chr1.685,,,P30531,Sodium- and chloride-dependent GABA transporter 1
KY21.Chr1.69,,,Q9H2D6,TRIO and F-actin-binding protein
KY21.Chr1.692,KH.S432.2,KH.S432.2,Q13546,Receptor-interacting serine/threonine-protein kinase 1
KY21.Chr1.694,KH.S432.4,KH.S432.4,Q9Y2B2,N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase
KY21.Chr1.695,KH.S432.5,KH.S432.5,Q92574,Hamartin {ECO:0000303|PubMed:9809973}
KY21.Chr1.696,,,Q14766,Latent-transforming growth factor beta-binding protein 1 {ECO:0000303|PubMed:8537398}
KY21.Chr1.697,KH.C1.717,KH.C1.717,Q5HYA8,Meckelin
KY21.Chr1.699,KH.C1.88,KH.C1.88,Q12955,Ankyrin-3 {ECO:0000303|PubMed:7836469}
KY21.Chr1.7,KH.L60.3,KH.L60.3,O94952,F-box only protein 21
KY21.Chr1.702,KH.C1.649,KH.C1.649,Q8TDP1,Ribonuclease H2 subunit C
KY21.Chr1.703,KH.C1.998,KH.C1.998,Q8TB45,DEP domain-containing mTOR-interacting protein {ECO:0000305}
KY21.Chr1.704,KH.C1.1185,KH.C1.1185,Q8WW35,Dynein light chain Tctex-type protein 2B {ECO:0000305}
KY21.Chr1.705,KH.C1.14,KH.C1.14,P62330,ADP-ribosylation factor 6 {ECO:0000303|Ref.6}
KY21.Chr1.706,KH.C1.1299,KH.C1.1299,Q00341,Vigilin
KY21.Chr1.707,KH.C1.463,KH.C1.463,Q96RG2,PAS domain-containing serine/threonine-protein kinase
KY21.Chr1.708,KH.C1.8,KH.C1.8,P57739,Claudin-2 {ECO:0000303|PubMed:11934881}
KY21.Chr1.709,KH.C1.802,KH.C1.802,Q99715,Collagen alpha-1(XII) chain
KY21.Chr1.71,KH.C1.1300,KH.C1.1300,P20794,Serine/threonine-protein kinase MAK
KY21.Chr1.710,KH.C1.617,KH.C1.617,P46736,Lys-63-specific deubiquitinase BRCC36
KY21.Chr1.713,,,B2RNN3,Complement C1q and tumor necrosis factor-related protein 9B
KY21.Chr1.715,KH.C1.145,KH.C1.145,O60832,H/ACA ribonucleoprotein complex subunit DKC1
KY21.Chr1.716,KH.C1.382,KH.C1.382,Q9Y376,Calcium-binding protein 39
KY21.Chr1.717,KH.C1.77,KH.C1.77,Q01804,OTU domain-containing protein 4
KY21.Chr1.719,KH.C1.276,KH.C1.276,Q96MD2,KICSTOR subunit 2 {ECO:0000305}
KY21.Chr1.72,KH.C1.593,KH.C1.593,Q5VU97,VWFA and cache domain-containing protein 1
KY21.Chr1.720,KH.C1.994,KH.C1.994,P08621,U1 small nuclear ribonucleoprotein 70 kDa
KY21.Chr1.723,KH.C1.1124,KH.C1.1124,Q9UN76,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) {ECO:0000305}
KY21.Chr1.725,KH.C1.870,KH.C1.870,Q9UN76,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) {ECO:0000305}
KY21.Chr1.726,KH.C1.591,KH.C1.591,Q9UN76,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) {ECO:0000305}
KY21.Chr1.727,KH.C1.471,KH.C1.471,Q15021,Condensin complex subunit 1
KY21.Chr1.728,KH.C1.278,KH.C1.278,Q9P225,Dynein axonemal heavy chain 2 {ECO:0000305}
KY21.Chr1.73,KH.C1.1197,KH.C1.1197,Q32NB8,"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial"
KY21.Chr1.730,,,Q9BXM0,Periaxin
KY21.Chr1.733,KH.C1.648,KH.C1.648,A6NEN9,Uncharacterized protein CXorf65
KY21.Chr1.734,KH.C1.431,KH.C1.431,Q8TA94,Zinc finger protein 563
KY21.Chr1.735,KH.C1.1131,KH.C1.1131,Q7Z7H3,Ciliogenesis-associated TTC17-interacting protein
KY21.Chr1.738,KH.C1.1249,KH.C1.1249,Q9C0D9,Ethanolaminephosphotransferase 1 {ECO:0000305}
KY21.Chr1.739,KH.C1.502,KH.C1.502,Q7Z407,CUB and sushi domain-containing protein 3
KY21.Chr1.74,KH.C1.301,KH.C1.301,Q9NSB8,Homer protein homolog 2 {ECO:0000305}
KY21.Chr1.742,KH.C1.767,KH.C1.767,Q96RS0,Trimethylguanosine synthase
KY21.Chr1.743,KH.C1.908,KH.C1.908,Q9Y241,"HIG1 domain family member 1A, mitochondrial"
KY21.Chr1.744,KH.C1.348,KH.C1.348,P61970,Nuclear transport factor 2 {ECO:0000303|PubMed:7744965}
KY21.Chr1.745,KH.C1.905,KH.C1.905,Q8IVF4,Dynein axonemal heavy chain 10
KY21.Chr1.746,KH.C1.1108,KH.C1.1108,P18440,Arylamine N-acetyltransferase 1
KY21.Chr1.747,KH.C1.466,KH.C1.466,P52758,2-iminobutanoate/2-iminopropanoate deaminase {ECO:0000305|PubMed:22094463}
KY21.Chr1.748,KH.C1.104,KH.C1.104,Q5TEU4,"Arginine-hydroxylase NDUFAF5, mitochondrial {ECO:0000305}"
KY21.Chr1.75,KH.C1.329,KH.C1.329,P62826,GTP-binding nuclear protein Ran
KY21.Chr1.750,,,Q9H5L6,DNA transposase THAP9
KY21.Chr1.751,KH.C1.564,KH.C1.564,Q96Q05,Trafficking protein particle complex subunit 9
KY21.Chr1.752,KH.C1.514,KH.C1.514,Q9C0H5,Rho GTPase-activating protein 39
KY21.Chr1.753,KH.C1.168,KH.C1.168,O75443,Alpha-tectorin
KY21.Chr1.755,KH.C1.66,KH.C1.66,Q9BT43,DNA-directed RNA polymerase III subunit RPC7-like
KY21.Chr1.758,KH.C1.871,KH.C1.871,Q5T1B0,Axonemal dynein light chain domain-containing protein 1
KY21.Chr1.759,KH.C1.341,KH.C1.341,Q99575,Ribonucleases P/MRP protein subunit POP1
KY21.Chr1.761,KH.S999.2,KH.S999.2,P51948,CDK-activating kinase assembly factor MAT1
KY21.Chr1.763,KH.S999.1,KH.S999.1,O95801,Tetratricopeptide repeat protein 4
KY21.Chr1.764,KH.S999.4,KH.S999.4,Q8TBM7,Transmembrane protein 254
KY21.Chr1.766,KH.C1.971,KH.C1.971,Q9H694,Protein bicaudal C homolog 1
KY21.Chr1.767,,,O95069,Potassium channel subfamily K member 2
KY21.Chr1.768,KH.C1.434,KH.C1.434,Q9Y2C3,"Beta-1,3-galactosyltransferase 5 {ECO:0000305}"
KY21.Chr1.769,KH.C1.97,KH.C1.97,O15169,Axin-1
KY21.Chr1.77,KH.C1.897,KH.C1.897,Q6PK18,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3
KY21.Chr1.771,KH.C1.1288,KH.C1.1288,Q9NWB7,Intraflagellar transport protein 57 homolog
KY21.Chr1.773,KH.C1.1140,KH.C1.1140,Q6UB98,Ankyrin repeat domain-containing protein 12
KY21.Chr1.774,KH.C1.1032,KH.C1.1032,Q9H4A6,Golgi phosphoprotein 3
KY21.Chr1.776,KH.C1.307,KH.C1.307,O94925,"Glutaminase kidney isoform, mitochondrial"
KY21.Chr1.777,KH.C1.1198,KH.C1.1198,Q96E22,Dehydrodolichyl diphosphate synthase complex subunit NUS1 {ECO:0000305}
KY21.Chr1.778,KH.C1.397,KH.C1.397,Q13506,NGFI-A-binding protein 1
KY21.Chr1.779,KH.C1.196,KH.C1.196,P50549,ETS translocation variant 1 {ECO:0000305}
KY21.Chr1.78,KH.C1.516,KH.C1.516,Q9NP66,High mobility group protein 20A
KY21.Chr1.780,KH.C1.1159,KH.C1.1159,Q495W5,"Alpha-(1,3)-fucosyltransferase 11"
KY21.Chr1.781,KH.C1.910,KH.C1.910,P98164,Low-density lipoprotein receptor-related protein 2
KY21.Chr1.782,KH.C1.824,KH.C1.824,P54886,Delta-1-pyrroline-5-carboxylate synthase
KY21.Chr1.783,KH.C1.498,KH.C1.498,P28329,Choline O-acetyltransferase
KY21.Chr1.784,KH.C1.389,KH.C1.389,O75533,Splicing factor 3B subunit 1
KY21.Chr1.785,KH.S842.2,KH.S842.2,Q9NRR2,Tryptase gamma {ECO:0000305}
KY21.Chr1.786,,,Q96MB7,Putative nuclease HARBI1
KY21.Chr1.787,KH.C1.1056,KH.C1.1056,Q13322,Growth factor receptor-bound protein 10
KY21.Chr1.789,KH.C1.367,KH.C1.367,Q9ULF5,Zinc transporter ZIP10 {ECO:0000305}
KY21.Chr1.79,KH.C1.230,KH.C1.230,Q70HW3,Mitochondrial S-adenosylmethionine carrier protein {ECO:0000303|PubMed:14674884}
KY21.Chr1.790,KH.C1.725,KH.C1.725,Q14494,Endoplasmic reticulum membrane sensor NFE2L1 {ECO:0000305}
KY21.Chr1.791,KH.C1.11,KH.C1.11,P09651,Heterogeneous nuclear ribonucleoprotein A1
KY21.Chr1.792,,,Q9H5L6,DNA transposase THAP9
KY21.Chr1.794,KH.C1.508,KH.C1.508,P05556,Integrin beta-1 {ECO:0000305}
KY21.Chr1.795,,,O60930,Ribonuclease H1
KY21.Chr1.797,,,O00370,LINE-1 retrotransposable element ORF2 protein
KY21.Chr1.798,,,O00370,LINE-1 retrotransposable element ORF2 protein
KY21.Chr1.8,KH.L60.9,KH.L60.9,Q13905,Rap guanine nucleotide exchange factor 1
KY21.Chr1.80,KH.C1.1011,KH.C1.1011,Q15286,Ras-related protein Rab-35
KY21.Chr1.800,,,Q9NXP7,Gypsy retrotransposon integrase-like protein 1
KY21.Chr1.802,KH.S1740.2,KH.S1740.2,Q96KR6,"Protein FAM210B, mitochondrial {ECO:0000305}"
KY21.Chr1.805,KH.S688.3,KH.S688.3,Q9P2P1,Protein NYNRIN
KY21.Chr1.806,KH.S688.1,KH.S688.1,Q96A33,PAT complex subunit CCDC47 {ECO:0000303|PubMed:32814900}
KY21.Chr1.807,KH.S688.2,KH.S688.2,P24752,"Acetyl-CoA acetyltransferase, mitochondrial"
KY21.Chr1.808,KH.S688.4,KH.S688.4,Q6ZMY6,WD repeat-containing protein 88
KY21.Chr1.809,,,Q9H5L6,DNA transposase THAP9
KY21.Chr1.81,KH.C1.208,KH.C1.208,Q8IWB6,Inactive serine/threonine-protein kinase TEX14
KY21.Chr1.811,KH.S1835.1,KH.S1835.1,Q8N187,Calcium-responsive transcription factor
KY21.Chr1.816,,,A6NKG5,Retrotransposon-like protein 1
KY21.Chr1.82,KH.C1.1208,KH.C1.1208,Q8IXR9,Uncharacterized protein C12orf56
KY21.Chr1.820,KH.L146.2,KH.L146.2,Q13619,Cullin-4A {ECO:0000305}
KY21.Chr1.821,KH.L146.1,KH.L146.1,P55160,Nck-associated protein 1-like {ECO:0000305}
KY21.Chr1.822,,,O75132,Zinc finger BED domain-containing protein 4
KY21.Chr1.823,,,O75132,Zinc finger BED domain-containing protein 4
KY21.Chr1.828,KH.S1288.1,KH.S1288.1,Q9H5L6,DNA transposase THAP9
KY21.Chr1.829,KH.L146.3,KH.L146.3,A8MXV4,Acyl-coenzyme A diphosphatase NUDT19
KY21.Chr1.83,,,Q96T54,Potassium channel subfamily K member 17
KY21.Chr1.830,KH.L146.6,KH.L146.6,Q99614,Tetratricopeptide repeat protein 1
KY21.Chr1.833,KH.L146.4,KH.L146.4,Q3V6T2,Girdin
KY21.Chr1.838,KH.L171.13,KH.L171.13,P04000,Long-wave-sensitive opsin 1
KY21.Chr1.839,KH.L171.10,KH.L171.10,Q03014,Hematopoietically-expressed homeobox protein HHEX
KY21.Chr1.84,KH.C1.269,KH.C1.269,Q13217,DnaJ homolog subfamily C member 3
KY21.Chr1.841,KH.L171.16,KH.L171.16,P49639,Homeobox protein Hox-A1
KY21.Chr1.842,KH.L171.23,KH.L171.23,Q9BQJ4,Transmembrane protein 47
KY21.Chr1.843,KH.L171.11,KH.L171.11,Q9H469,F-box/LRR-repeat protein 15
KY21.Chr1.847,,,P22105,Tenascin-X {ECO:0000305}
KY21.Chr1.849,KH.L171.7,KH.L171.7,P02751,Fibronectin {ECO:0000305}
KY21.Chr1.85,KH.C1.15,KH.C1.15,Q14697,Neutral alpha-glucosidase AB
KY21.Chr1.850,KH.L171.17,KH.L171.17,Q86SS6,Synaptotagmin-9
KY21.Chr1.851,KH.L171.6,KH.L171.6,Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein
KY21.Chr1.852,KH.L171.15,KH.L171.15,O94829,Importin-13
KY21.Chr1.853,KH.L171.2,KH.L171.2,Q9UJ71,C-type lectin domain family 4 member K
KY21.Chr1.855,KH.L171.4,KH.L171.4,Q96RW7,Hemicentin-1
KY21.Chr1.856,KH.L171.22,KH.L171.22,Q9BYE2,Transmembrane protease serine 13
KY21.Chr1.857,KH.L171.1,KH.L171.1,Q8N865,Sperm-associated microtubule inner protein 4 {ECO:0000312|HGNC:HGNC:21722}
KY21.Chr1.859,KH.L171.5,KH.L171.5,Q5T4F7,Secreted frizzled-related protein 5
KY21.Chr1.86,KH.C1.344,KH.C1.344,P21453,Sphingosine 1-phosphate receptor 1
KY21.Chr1.861,KH.L171.18,KH.L171.18,Q9GZT9,Egl nine homolog 1
KY21.Chr1.862,KH.L171.3,KH.L171.3,Q9BUQ8,Probable ATP-dependent RNA helicase DDX23 {ECO:0000305}
KY21.Chr1.863,KH.S610.1,KH.S610.1,P0DP23,Calmodulin-1 {ECO:0000312|HGNC:HGNC:1442}
KY21.Chr1.864,,,O60662,Kelch-like protein 41
KY21.Chr1.865,KH.S610.5,KH.S610.5,Q8NFY9,Kelch repeat and BTB domain-containing protein 8
KY21.Chr1.866,KH.S610.4,KH.S610.4,O43916,Carbohydrate sulfotransferase 1
KY21.Chr1.87,KH.C1.781,KH.C1.781,Q6ZMJ2,Scavenger receptor class A member 5 {ECO:0000255|HAMAP-Rule:MF_03070}
KY21.Chr1.870,KH.S610.6,KH.S610.6,P57721,Poly(rC)-binding protein 3
KY21.Chr1.871,KH.S610.2,KH.S610.2,Q8IXM6,Nurim
KY21.Chr1.874,KH.S702.3,KH.S702.3,P60953,Cell division control protein 42 homolog {ECO:0000305}
KY21.Chr1.875,KH.S702.2,KH.S702.2,Q7Z5J8,Ankyrin and armadillo repeat-containing protein
KY21.Chr1.876,KH.S702.1,KH.S702.1,Q9H3H5,UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase {ECO:0000305|PubMed:29459785}
KY21.Chr1.879,KH.S861.2,KH.S861.2,Q9Y5Z6,"Beta-1,3-galactosyltransferase 1 {ECO:0000305}"
KY21.Chr1.88,KH.C1.997,KH.C1.997,Q9ULI0,ATPase family AAA domain-containing protein 2B
KY21.Chr1.880,KH.S861.3,KH.S861.3,Q9BTV6,Diphthine methyltransferase
KY21.Chr1.881,KH.S861.1,KH.S861.1,Q8N136,Dynein assembly factor with WD repeat domains 1 {ECO:0000305}
KY21.Chr1.882,KH.S389.2,KH.S389.2,Q9P2Q2,FERM domain-containing protein 4A
KY21.Chr1.883,KH.S389.10,KH.S389.10,P07911,Uromodulin
KY21.Chr1.885,KH.S389.3,KH.S389.3,Q96SD1,Protein artemis {ECO:0000303|PubMed:11336668}
KY21.Chr1.886,KH.S389.4,KH.S389.4,Q05048,Cleavage stimulation factor subunit 1
KY21.Chr1.887,KH.S389.8,KH.S389.8,Q92685,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase {ECO:0000305|PubMed:10581255}"
KY21.Chr1.888,KH.S389.6,KH.S389.6,P0DPB6,DNA-directed RNA polymerases I and III subunit RPAC2
KY21.Chr1.889,KH.S389.1,KH.S389.1,P19338,Nucleolin
KY21.Chr1.89,KH.C1.831,KH.C1.831,Q15369,Elongin-C
KY21.Chr1.891,KH.L34.9,KH.L34.9,Q14469,Transcription factor HES-1
KY21.Chr1.892,KH.L34.22,KH.L34.22,P11279,Lysosome-associated membrane glycoprotein 1 {ECO:0000303|PubMed:3198605}
KY21.Chr1.893,KH.L34.21,KH.L34.21,P11279,Lysosome-associated membrane glycoprotein 1 {ECO:0000303|PubMed:3198605}
KY21.Chr1.894,,,O75132,Zinc finger BED domain-containing protein 4
KY21.Chr1.895,KH.S1129.2,KH.S1129.2,Q9H871,E3 ubiquitin-protein transferase RMND5A
KY21.Chr1.896,,,Q9H5L6,DNA transposase THAP9
KY21.Chr1.898,KH.L34.3,KH.L34.3,Q9H8V3,Protein ECT2
KY21.Chr1.899,KH.L34.24,KH.L34.24,O75167,Phosphatase and actin regulator 2
KY21.Chr1.9,KH.L60.1,KH.L60.1,P52655,Transcription initiation factor IIA subunit 1
KY21.Chr1.90,KH.C1.110,KH.C1.110,Q9UHX1,Poly(U)-binding-splicing factor PUF60 {ECO:0000312|HGNC:HGNC:17042}
KY21.Chr1.900,KH.L34.13,KH.L34.13,Q96QG7,Myotubularin-related protein 9
KY21.Chr1.901,KH.L34.4,KH.L34.4,P61026,Ras-related protein Rab-10
KY21.Chr1.902,,,Q969E4,Transcription elongation factor A protein-like 3
KY21.Chr1.904,,,O00370,LINE-1 retrotransposable element ORF2 protein
KY21.Chr1.906,KH.L34.17,KH.L34.17,Q07912,Activated CDC42 kinase 1
KY21.Chr1.909,KH.L34.25,KH.L34.25,P78346,Ribonuclease P protein subunit p30
KY21.Chr1.91,KH.C1.771,KH.C1.771,Q96K78,Adhesion G-protein coupled receptor G7 {ECO:0000303|PubMed:25713288}
KY21.Chr1.912,KH.L34.11,KH.L34.11,Q9BY49,Peroxisomal trans-2-enoyl-CoA reductase {ECO:0000305}
KY21.Chr1.913,KH.L34.2,KH.L34.2,Q9C0B5,Palmitoyltransferase ZDHHC5
KY21.Chr1.914,KH.L34.6,KH.L34.6,P07358,Complement component C8 beta chain
KY21.Chr1.915,KH.L34.14,KH.L34.14,Q9H9Q4,Non-homologous end-joining factor 1 {ECO:0000305}
KY21.Chr1.916,KH.L34.8,KH.L34.8,Q8TBA6,Golgin subfamily A member 5
KY21.Chr1.917,,,Q8TD57,Dynein axonemal heavy chain 3
KY21.Chr1.918,KH.L34.12,KH.L34.12,Q8TD57,Dynein axonemal heavy chain 3
KY21.Chr1.919,,,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13
KY21.Chr1.92,KH.L24.9,KH.L24.9,P35555,Fibrillin-1 {ECO:0000303|PubMed:15221638}
KY21.Chr1.920,KH.L34.27,KH.L34.27,Q9Y3L5,Ras-related protein Rap-2c
KY21.Chr1.921,KH.L34.1,KH.L34.1,Q9BY71,Leucine-rich repeat-containing protein 3
KY21.Chr1.922,KH.L34.18,KH.L34.18,Q13885,Tubulin beta-2A chain
KY21.Chr1.923,KH.L34.20,KH.L34.20,Q9UPQ8,Dolichol kinase {ECO:0000303|PubMed:16923818}
KY21.Chr1.924,KH.L34.7,KH.L34.7,Q9UBL3,Set1/Ash2 histone methyltransferase complex subunit ASH2
KY21.Chr1.925,KH.L34.29,KH.L34.29,Q6ZUK4,Transmembrane protein 26
KY21.Chr1.931,,,O00370,LINE-1 retrotransposable element ORF2 protein
KY21.Chr1.934,KH.L119.4,KH.L119.4,Q9H8H0,Nucleolar protein 11
KY21.Chr1.935,KH.L119.3,KH.L119.3,Q15072,Zinc finger protein OZF
KY21.Chr1.936,KH.L119.9,KH.L119.9,O75127,"Pentatricopeptide repeat-containing protein 1, mitochondrial"
KY21.Chr1.937,KH.L119.19,KH.L119.19,P0DPH7,Tubulin alpha-3C chain
KY21.Chr1.938,KH.L119.18,KH.L119.18,Q13231,Chitotriosidase-1
KY21.Chr1.939,KH.L119.31,KH.L119.31,Q15149,Plectin
KY21.Chr1.94,KH.L140.2,KH.L140.2,Q674X7,Kazrin
KY21.Chr1.941,KH.S665.1,KH.S665.1,P12931,Proto-oncogene tyrosine-protein kinase Src {ECO:0000305}
KY21.Chr1.945,,,P12931,Proto-oncogene tyrosine-protein kinase Src {ECO:0000305}
KY21.Chr1.946,KH.S665.2,KH.S665.2,Q7Z3U7,Protein MON2 homolog
KY21.Chr1.947,KH.S665.5,KH.S665.5,Q9BRA2,Thioredoxin domain-containing protein 17
KY21.Chr1.948,KH.S665.3,KH.S665.3,Q9P031,Thyroid transcription factor 1-associated protein 26
KY21.Chr1.949,KH.S665.6,KH.S665.6,Q8IYB1,Nucleotidyltransferase MB21D2 {ECO:0000305}
KY21.Chr1.95,KH.L140.7,KH.L140.7,Q8IYR0,Cilia- and flagella-associated protein 206 {ECO:0000305}
KY21.Chr1.950,KH.L119.24,KH.L119.24,Q9UL16,Cilia- and flagella-associated protein 45 {ECO:0000312|HGNC:HGNC:17229}
KY21.Chr1.951,KH.L119.11,KH.L119.11,P0DPH7,Tubulin alpha-3C chain
KY21.Chr1.952,KH.L119.32,KH.L119.32,P0DPH7,Tubulin alpha-3C chain
KY21.Chr1.953,,,P17787,Neuronal acetylcholine receptor subunit beta-2
KY21.Chr1.954,KH.L119.17,KH.L119.17,Q13523,Serine/threonine-protein kinase PRP4 homolog
KY21.Chr1.955,KH.L119.5,KH.L119.5,Q9NWT8,Small ribosomal subunit protein mS38 {ECO:0000303|PubMed:25838379}
KY21.Chr1.956,KH.L119.16,KH.L119.16,P20645,Cation-dependent mannose-6-phosphate receptor
KY21.Chr1.957,KH.L119.2,KH.L119.2,P34913,Bifunctional epoxide hydrolase 2 {ECO:0000305}
KY21.Chr1.958,KH.L119.7,KH.L119.7,Q9UPW0,Forkhead box protein J3
KY21.Chr1.959,KH.L119.1,KH.L119.1,P32320,Cytidine deaminase {ECO:0000305}
KY21.Chr1.96,KH.L140.6,KH.L140.6,Q9UPI3,Choline/ethanolamine transporter FLVCR2 {ECO:0000305}
KY21.Chr1.960,KH.L119.25,KH.L119.25,P32320,Cytidine deaminase {ECO:0000305}
KY21.Chr1.961,KH.L119.12,KH.L119.12,P51161,Gastrotropin
KY21.Chr1.963,KH.L119.8,KH.L119.8,Q9Y5W9,Sorting nexin-11
KY21.Chr1.964,KH.L119.10,KH.L119.10,Q9H4D0,Calsyntenin-2 {ECO:0000303|PubMed:12498782}
KY21.Chr1.965,KH.L119.6,KH.L119.6,Q8N300,Small vasohibin-binding protein {ECO:0000303|PubMed:20736312}
KY21.Chr1.968,KH.L119.23,KH.L119.23,P59796,Glutathione peroxidase 6
KY21.Chr1.97,KH.L140.4,KH.L140.4,P42357,Histidine ammonia-lyase
KY21.Chr1.970,KH.L119.33,KH.L119.33,Q8N2E2,von Willebrand factor D and EGF domain-containing protein
KY21.Chr1.971,KH.L119.34,KH.L119.34,P54852,Epithelial membrane protein 3
KY21.Chr1.973,KH.L119.29,KH.L119.29,O00602,Ficolin-1
KY21.Chr1.976,KH.L119.26,KH.L119.26,Q96QS3,Homeobox protein ARX
KY21.Chr1.977,KH.L119.21,KH.L119.21,P09884,DNA polymerase alpha catalytic subunit
KY21.Chr1.978,KH.L119.27,KH.L119.27,Q9H061,Transmembrane protein 126A {ECO:0000305}
KY21.Chr1.979,,,Q16560,U11/U12 small nuclear ribonucleoprotein 35 kDa protein
KY21.Chr1.98,KH.L140.5,KH.L140.5,Q96FZ5,CKLF-like MARVEL transmembrane domain-containing protein 7
KY21.Chr1.980,KH.L119.15,KH.L119.15,A6NEY8,Putative prolyl-tRNA synthetase associated domain-containing protein 1
KY21.Chr1.981,KH.L119.28,KH.L119.28,Q9NX38,Protein Abitram {ECO:0000305}
KY21.Chr1.982,KH.C1.1267,KH.C1.1267,Q92878,DNA repair protein RAD50
KY21.Chr1.983,KH.C1.1237,KH.C1.1237,O43681,ATPase GET3 {ECO:0000255|HAMAP-Rule:MF_03112}
KY21.Chr1.984,,,O00370,LINE-1 retrotransposable element ORF2 protein
KY21.Chr1.985,KH.C1.1142,KH.C1.1142,Q2TB18,Single-strand DNA endonuclease ASTE1
KY21.Chr1.987,KH.C1.90,KH.C1.90,Q96CQ1,Solute carrier family 25 member 36
KY21.Chr1.988,KH.C1.1175,KH.C1.1175,Q6V0I7,Protocadherin Fat 4
KY21.Chr1.989,KH.C1.448,KH.C1.448,Q684P5,Rap1 GTPase-activating protein 2
KY21.Chr1.99,KH.L140.9,KH.L140.9,Q9H1P6,Ciliary microtubule inner protein 1 {ECO:0000305}
KY21.Chr1.991,KH.C1.1021,KH.C1.1021,P50542,Peroxisomal targeting signal 1 receptor {ECO:0000305}
KY21.Chr1.992,KH.C1.1047,KH.C1.1047,P21860,Receptor tyrosine-protein kinase erbB-3
KY21.Chr1.993,KH.C1.123,KH.C1.123,Q53G59,Kelch-like protein 12
KY21.Chr1.994,KH.C1.170,KH.C1.170,Q92536,Y+L amino acid transporter 2 {ECO:0000305}
KY21.Chr1.995,KH.C1.1044,KH.C1.1044,Q92536,Y+L amino acid transporter 2 {ECO:0000305}
KY21.Chr1.996,KH.C1.85,KH.C1.85,O95563,Mitochondrial pyruvate carrier 2
KY21.Chr1.997,KH.C1.1239,KH.C1.1239,P28799,Progranulin {ECO:0000303|PubMed:16862116}
KY21.Chr10.1,,,Q9NZN5,Rho guanine nucleotide exchange factor 12
KY21.Chr10.100,KH.L157.5,KH.L157.5,P13637,Sodium/potassium-transporting ATPase subunit alpha-3
KY21.Chr10.1000,,,Q9BPX1,L-fucose dehydrogenase {ECO:0000305}
KY21.Chr10.1001,KH.L87.3,KH.L87.3,O95782,AP-2 complex subunit alpha-1
KY21.Chr10.1002,KH.L87.21,KH.L87.21,P63128,Endogenous retrovirus group K member 9 Pol protein
KY21.Chr10.1003,KH.L87.63,KH.L87.63,Q9Y4D7,Plexin-D1
KY21.Chr10.1005,KH.L87.50,KH.L87.50,Q53G59,Kelch-like protein 12
KY21.Chr10.1006,KH.L87.34,KH.L87.34,Q6MZM0,Ferroxidase HEPHL1 {ECO:0000305}
KY21.Chr10.1007,KH.L87.39,KH.L87.39,Q9UMX3,Bcl-2-related ovarian killer protein {ECO:0000303|PubMed:11034351}
KY21.Chr10.1008,KH.L87.38,KH.L87.38,Q9BU40,Chordin-like protein 1
KY21.Chr10.1009,,,Q7Z7M1,Adhesion G protein-coupled receptor D2 {ECO:0000303|PubMed:25713288}
KY21.Chr10.1010,,,Q6QNK2,Adhesion G-protein coupled receptor D1 {ECO:0000303|PubMed:25713288}
KY21.Chr10.1011,KH.L87.11,KH.L87.11,P15735,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform"
KY21.Chr10.1012,KH.L87.30,KH.L87.30,Q9H2S1,Small conductance calcium-activated potassium channel protein 2 {ECO:0000305}
KY21.Chr10.1013,,,O00370,LINE-1 retrotransposable element ORF2 protein
KY21.Chr10.1015,KH.L87.12,KH.L87.12,Q6ZQN7,Solute carrier organic anion transporter family member 4C1
KY21.Chr10.1016,KH.L87.45,KH.L87.45,Q6ZQN7,Solute carrier organic anion transporter family member 4C1
KY21.Chr10.1017,KH.L87.31,KH.L87.31,Q6ZQN7,Solute carrier organic anion transporter family member 4C1
KY21.Chr10.1019,KH.L87.48,KH.L87.48,O95786,Antiviral innate immune response receptor RIG-I {ECO:0000305}
KY21.Chr10.102,KH.L157.10,KH.L157.10,P13637,Sodium/potassium-transporting ATPase subunit alpha-3
KY21.Chr10.1021,KH.L87.40,KH.L87.40,Q7Z2Z2,Elongation factor-like GTPase 1
KY21.Chr10.1023,KH.L87.16,KH.L87.16,H3BS89,Transmembrane protein 178B
KY21.Chr10.1024,KH.L87.13,KH.L87.13,Q13576,Ras GTPase-activating-like protein IQGAP2
KY21.Chr10.1026,KH.L87.60,KH.L87.60,Q969Y0,NXPE family member 3
KY21.Chr10.1027,KH.L87.18,KH.L87.18,Q6P656,Cilia- and flagella-associated protein 161 {ECO:0000312|HGNC:HGNC:26782}
KY21.Chr10.1028,KH.L87.5,KH.L87.5,Q9P1Y6,PHD and RING finger domain-containing protein 1
KY21.Chr10.1029,KH.L87.1,KH.L87.1,P19397,Leukocyte surface antigen CD53
KY21.Chr10.103,KH.L157.4,KH.L157.4,Q6ZU80,Centrosomal protein of 128 kDa
